"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Caroline_Wickham-Jones","Caroline Wickham-Jones",1955
"http://dbpedia.org/resource/Jacques_Breuer","Jacques Breuer",1956
"http://dbpedia.org/resource/Eilat_Mazar","Eilat Mazar",1956
"http://dbpedia.org/resource/Fred_Vargas","Fred Vargas",1957
"http://dbpedia.org/resource/Claire_Smith_(archaeologist)","Claire Smith (archaeologist)",1957
"http://dbpedia.org/resource/Mike_Parker_Pearson","Mike Parker Pearson",1957
"http://dbpedia.org/resource/Vincent_Gaffney","Vincent Gaffney",1958
"http://dbpedia.org/resource/Neil_Faulkner_(archaeologist)","Neil Faulkner (archaeologist)",1958
"http://dbpedia.org/resource/James_P._Delgado","James P. Delgado",1958
"http://dbpedia.org/resource/Louise_Zarmati","Louise Zarmati",1958
"http://dbpedia.org/resource/Eric_H._Cline","Eric H. Cline",1960
"http://dbpedia.org/resource/Barbara_Borg","Barbara Borg",1960
"http://dbpedia.org/resource/Christopher_Gaffney_(archaeologist)","Christopher Gaffney (archaeologist)",1962
"http://dbpedia.org/resource/Peter_N._Peregrine","Peter N. Peregrine",1963
"http://dbpedia.org/resource/Carenza_Lewis","Carenza Lewis",1963
"http://dbpedia.org/resource/Carl_L._Thunberg","Carl L. Thunberg",1963
"http://dbpedia.org/resource/Florin_Curta","Florin Curta",1965
"http://dbpedia.org/resource/Sharada_Srinivasan","Sharada Srinivasan",1966
"http://dbpedia.org/resource/Roderick_Salisbury","Roderick Salisbury",1967
"http://dbpedia.org/resource/Neil_Oliver","Neil Oliver",1967
"http://dbpedia.org/resource/Touraj_Daryaee","Touraj Daryaee",1967
"http://dbpedia.org/resource/Birgitta_Hoffmann","Birgitta Hoffmann",1969
"http://dbpedia.org/resource/Fereidoun_Biglari","Fereidoun Biglari",1970
"http://dbpedia.org/resource/Martin_Rundkvist","Martin Rundkvist",1972
